Sõna,Abstraktsus,Sagedus keeles,Sagedusgrupp keeles,Sagedusgrupp õpikuis,Sagedus õpikuis,Sagedus 123,Sagedus 4,Sagedus 5,Sagedus 6,Sagedus 7,Sagedus 8,Sagedus 9
kokk,1,46,2,3,7,3,1,0,0,0,1,2
kokku,-,752,1,1,86,16,14,13,7,6,13,17
kokkuhoid,3,20,3,7,1,0,0,0,0,0,0,1
kokkuhoidev,-,-,-,7,1,0,0,1,0,0,0,0
kokkuhoidlik,-,-,-,7,1,0,0,0,0,0,0,1
kokkuhoidmine,2,5,5,-,0,0,0,0,0,0,0,0
kokkulepe,3,127,1,-,0,0,0,0,0,0,0,0
kokkulepitud,-,8,4,-,0,0,0,0,0,0,0,0
kokkulepitus,3,-,-,7,1,0,0,0,0,1,0,0
kokkupandav,-,-,-,7,1,0,0,0,0,0,0,1
kokkupanemine,2,-,-,7,1,0,0,0,0,0,0,1
kokkupuude,2,14,3,-,0,0,0,0,0,0,0,0
kokkupuutumine,2,-,-,7,1,0,0,0,0,0,0,1
kokkupõrge,2,31,2,7,1,0,0,0,0,0,1,0
kokkusaamine,2,16,3,7,1,0,0,0,1,0,0,0
kokkutulek,2,26,2,-,0,0,0,0,0,0,0,0
kokkuvõte,3,59,1,1,28,0,3,1,0,7,15,2
kokkuvõtlikult,-,-,-,7,1,0,0,0,0,0,1,0
kokkuvõttev,-,-,-,6,2,0,0,0,0,0,0,2
kokkuvõtvalt,-,-,-,7,1,0,0,0,0,0,1,0
koksima,-,-,-,3,7,7,0,0,0,0,0,0
kokteil,-,5,5,-,0,0,0,0,0,0,0,0
kolama,-,-,-,7,1,0,0,1,0,0,0,0
kolb,1,-,-,4,4,0,0,0,0,4,0,0
kold,1,-,-,7,1,0,0,0,0,0,0,1
kole,-,44,2,3,9,4,3,2,0,0,0,0
koledasti,-,5,5,-,0,0,0,0,0,0,0,0
koletis,1,6,5,5,3,0,0,0,3,0,0,0
kolgas,1,12,3,-,0,0,0,0,0,0,0,0
kolhoos,1,42,2,-,0,0,0,0,0,0,0,0
koli,1,8,4,7,1,1,0,0,0,0,0,0
kolima,-,51,2,2,18,0,3,6,2,1,3,3
kolimine,2,7,5,7,1,0,0,0,0,1,0,0
kolin,2,15,3,7,1,0,0,0,0,0,0,1
kolinal,-,10,4,-,0,0,0,0,0,0,0,0
kolisema,-,13,3,-,0,0,0,0,0,0,0,0
kolju,1,6,5,-,0,0,0,0,0,0,0,0
kolk,-,18,3,-,0,0,0,0,0,0,0,0
kolks,2,-,-,6,2,1,0,0,0,0,0,1
kolksuma,-,5,5,-,0,0,0,0,0,0,0,0
koll,1,6,5,4,4,3,0,1,0,0,0,0
kollakas,-,13,3,-,0,0,0,0,0,0,0,0
kolland,-,-,-,6,2,0,0,2,0,0,0,0
kollane,-,92,1,1,47,17,15,0,10,2,2,1
kollase-must,-,-,-,7,1,0,0,0,0,1,0,0
kolle,1,28,2,-,0,0,0,0,0,0,0,0
kolledž,1,-,-,7,1,0,0,0,0,0,1,0
kolleeg,1,89,1,7,1,0,0,0,0,0,0,1
kolleegium,2,6,5,-,0,0,0,0,0,0,0,0
kollektiiv,2,19,3,6,2,0,0,0,0,0,1,1
kollektiivne,-,14,3,-,0,0,0,0,0,0,0,0
kollektsioon,2,17,3,7,1,0,0,0,0,0,0,1
kolm,-,935,1,1,234,49,30,32,28,14,10,71
kolm-neli,-,18,3,6,2,1,0,0,1,0,0,0
kolmandaks,-,19,3,6,2,0,0,2,0,0,0,0
kolmandane,-,-,-,7,1,0,0,1,0,0,0,0
kolmandik,3,56,1,5,3,0,0,1,2,0,0,0
kolmapäev,2,105,1,1,29,16,9,3,0,0,1,0
kolmapäeviti,-,5,5,6,2,0,2,0,0,0,0,0
kolmas,-,326,1,1,76,42,12,3,5,2,0,12
kolme-neli,-,12,3,-,0,0,0,0,0,0,0,0
kolmeaastane,-,17,3,4,4,0,1,1,0,0,2,0
kolmeaastaselt,-,-,-,7,1,0,0,0,0,0,1,0
kolmekesi,-,21,2,7,1,0,1,0,0,0,0,0
kolmekihiline,-,-,-,7,1,0,0,0,0,0,1,0
kolmekordne,-,20,3,6,2,0,0,0,0,0,2,0
kolmekorruseline,-,-,-,7,1,0,1,0,0,0,0,0
kolmekuningapäev,3,6,5,-,0,0,0,0,0,0,0,0
kolmekuune,-,-,-,6,2,0,2,0,0,0,0,0
kolmekuuselt,-,-,-,7,1,0,0,0,0,0,0,1
kolmekäiguline,-,6,5,7,1,0,0,0,0,0,0,1
kolmekümne-aastane,-,-,-,7,1,0,1,0,0,0,0,0
kolmekümnes,-,7,5,5,3,1,2,0,0,0,0,0
kolmene,-,14,3,6,2,0,1,0,0,0,0,1
kolmerattaline,-,-,-,7,1,0,0,0,0,1,0,0
kolmeteistaastane,-,-,-,7,1,1,0,0,0,0,0,0
kolmeteistkümnes,-,-,-,5,3,0,1,2,0,0,0,0
kolmetäheline,-,-,-,7,1,0,1,0,0,0,0,0
kolmevärviline,-,-,-,6,2,0,0,2,0,0,0,0
kolmik,2,12,3,-,0,0,0,0,0,0,0,0
kolmkümmend,-,53,1,1,24,17,6,0,0,0,0,1
kolmnurgakujuline,-,-,-,7,1,0,0,1,0,0,0,0
kolmnurk,2,10,4,4,5,0,5,0,0,0,0,0
kolmnurkkaelus,3,-,-,7,1,0,0,1,0,0,0,0
kolmnurkne,-,8,4,4,4,0,0,0,0,0,4,0
kolmsada,-,20,3,7,1,0,0,0,0,1,0,0
kolmteist,-,15,3,3,7,7,0,0,0,0,0,0
kolmveerand,3,24,2,2,10,7,3,0,0,0,0,0
kolonel,1,23,2,-,0,0,0,0,0,0,0,0
kolonn,1,13,3,-,0,0,0,0,0,0,0,0
koloonia,2,15,3,6,2,0,0,0,1,1,0,0
kolp,-,8,4,-,0,0,0,0,0,0,0,0
kolu,1,7,5,-,0,0,0,0,0,0,0,0
koma,2,-,-,3,8,1,2,0,0,0,5,0
komandant,1,30,2,-,0,0,0,0,0,0,0,0
komandeering,2,15,3,-,0,0,0,0,0,0,0,0
komando,1,-,-,7,1,0,0,0,0,0,0,1
komandör,1,10,4,-,0,0,0,0,0,0,0,0
kombain,1,8,4,-,0,0,0,0,0,0,0,0
kombel,-,29,2,-,0,0,0,0,0,0,0,0
kombelõtv,-,-,-,7,1,0,0,0,0,0,0,1
kombelõtvus,3,-,-,7,1,0,0,0,0,0,0,1
kombinaat,1,41,2,-,0,0,0,0,0,0,0,0
kombinatsioon,3,7,5,-,0,0,0,0,0,0,0,0
kombineerima,-,6,5,-,0,0,0,0,0,0,0,0
kombinesoon,1,-,-,5,3,0,0,0,3,0,0,0
komisjon,1,181,1,3,6,0,0,0,0,0,0,6
komissar,1,26,2,-,0,0,0,0,0,0,0,0
komistama,-,31,2,6,2,0,0,0,0,0,2,0
komitee,2,24,2,-,0,0,0,0,0,0,0,0
komm,1,8,4,1,38,20,2,3,0,11,0,2
komme,3,173,1,2,14,0,0,2,0,5,2,5
kommentaar,2,55,1,4,5,0,0,2,0,1,1,1
kommenteerima,-,92,1,3,9,0,0,2,3,0,1,3
kommerts,3,12,3,-,0,0,0,0,0,0,0,0
kommertsdirektor,1,5,5,-,0,0,0,0,0,0,0,0
kommipaber,1,-,-,7,1,0,0,1,0,0,0,0
kommipood,1,-,-,7,1,0,1,0,0,0,0,0
kommiraha,1,-,-,7,1,1,0,0,0,0,0,0
kommiretsept,1,-,-,7,1,0,0,0,0,1,0,0
kommivabrik,1,-,-,7,1,0,0,0,0,0,0,1
kommunism,3,13,3,-,0,0,0,0,0,0,0,0
kommunist,1,27,2,-,0,0,0,0,0,0,0,0
kommunistlik,-,32,2,-,0,0,0,0,0,0,0,0
kompaktne,-,-,-,7,1,0,0,0,0,0,0,1
kompama,-,15,3,-,0,0,0,0,0,0,0,0
kompanii,1,19,3,7,1,0,0,0,1,0,0,0
kompass,1,-,-,6,2,0,0,0,0,0,1,1
kompenente,-,-,-,7,1,0,0,0,0,1,0,0
kompensatsioon,3,9,4,-,0,0,0,0,0,0,0,0
kompetents,3,8,4,-,0,0,0,0,0,0,0,0
kompleks,3,25,2,-,0,0,0,0,0,0,0,0
komplekt,3,14,3,7,1,0,0,0,0,0,0,1
komplekteerima,-,10,4,-,0,0,0,0,0,0,0,0
kompliment,2,7,5,7,1,0,0,0,0,0,0,1
komplitseerima,-,-,-,7,1,0,0,0,0,0,0,1
komponent,3,10,4,7,1,0,0,0,0,1,0,0
kompositsioon,2,10,4,-,0,0,0,0,0,0,0,0
komposteerima,-,-,-,6,2,0,0,0,0,0,2,0
kompott,1,6,5,7,1,1,0,0,0,0,0,0
kompress,1,-,-,7,1,0,0,0,0,0,0,1
kompromiss,3,31,2,7,1,0,0,0,0,0,1,0
komps,1,-,-,5,3,0,0,3,0,0,0,0
kompvek,1,-,-,7,1,0,0,1,0,0,0,0
komöödia,3,37,2,-,0,0,0,0,0,0,0,0
konarlik,-,5,5,-,0,0,0,0,0,0,0,0
kondama,-,-,-,4,5,5,0,0,0,0,0,0
kondenspiim,1,-,-,7,1,0,0,0,0,0,0,1
kondine,-,5,5,-,0,0,0,0,0,0,0,0
konfiskeerima,-,14,3,-,0,0,0,0,0,0,0,0
konflikt,2,47,2,2,13,0,0,0,0,0,0,13
konfliktolukord,3,-,-,7,1,0,0,0,0,0,0,1
kong,1,16,3,-,0,0,0,0,0,0,0,0
konga,-,-,-,7,1,0,0,0,0,0,0,1
kongress,1,43,2,-,0,0,0,0,0,0,0,0
koni,1,-,-,7,1,0,0,0,1,0,0,0
konjak,-,31,2,-,0,0,0,0,0,0,0,0
konkreetne,-,83,1,4,4,0,0,0,0,1,2,1
konkreetselt,-,20,3,-,0,0,0,0,0,0,0,0
konkreetsem,-,5,5,-,0,0,0,0,0,0,0,0
konks,1,9,4,7,1,1,0,0,0,0,0,0
konksuma,-,-,-,7,1,0,0,1,0,0,0,0
konkureerima,-,9,4,-,0,0,0,0,0,0,0,0
konkureeriv,-,9,4,-,0,0,0,0,0,0,0,0
konkurent,1,-,-,7,1,0,0,0,0,0,0,1
konkurents,3,64,1,-,0,0,0,0,0,0,0,0
konkurentsivõimeline,-,-,-,7,1,0,0,0,0,0,1,0
konkurss,3,85,1,6,2,0,0,0,0,0,0,2
konn,1,7,5,1,77,18,56,0,2,0,0,1
konnakoib,1,-,-,6,2,2,0,0,0,0,0,0
konnapoeg,1,-,-,7,1,0,1,0,0,0,0,0
konnarahvas,1,-,-,7,1,0,1,0,0,0,0,0
konsert,-,-,-,7,1,1,0,0,0,0,0,0
konserv,1,17,3,-,0,0,0,0,0,0,0,0
konservatiivsem,-,-,-,7,1,0,0,0,0,0,0,1
konserviavaja,1,-,-,7,1,0,0,0,0,1,0,0
konservikarp,1,9,4,-,0,0,0,0,0,0,0,0
konsonant,3,-,-,7,1,0,0,0,1,0,0,0
konstaabel,1,12,3,-,0,0,0,0,0,0,0,0
konstateerima,-,9,4,-,0,0,0,0,0,0,0,0
konstrueerima,-,8,4,7,1,0,0,1,0,0,0,0
konstruktor,1,8,4,6,2,0,1,0,0,1,0,0
konstruktsioon,3,13,3,-,0,0,0,0,0,0,0,0
konsul,1,6,5,-,0,0,0,0,0,0,0,0
konsulaat,1,5,5,-,0,0,0,0,0,0,0,0
konsultant,2,7,5,-,0,0,0,0,0,0,0,0
konsultatsioon,3,15,3,-,0,0,0,0,0,0,0,0
konsulteerima,-,5,5,6,2,0,0,0,0,0,1,1
kont,1,24,2,3,6,6,0,0,0,0,0,0
kontakt,2,62,1,4,5,0,0,0,0,1,2,2
kontaktandmed,3,-,-,7,1,0,0,0,1,0,0,0
konteiner,1,10,4,3,6,0,0,0,3,0,3,0
kontekst,3,25,2,-,0,0,0,0,0,0,0,0
kontingent,2,5,5,-,0,0,0,0,0,0,0,0
kontor,1,57,1,6,2,0,0,0,0,0,1,1
kontrabass,1,-,-,6,2,2,0,0,0,0,0,0
kontrast,3,6,5,-,0,0,0,0,0,0,0,0
kontroll,2,78,1,1,23,7,2,1,3,1,4,5
kontrollima,-,134,1,2,10,0,1,2,4,0,3,0
kontrollimine,2,20,3,6,2,0,0,0,2,0,0,0
kontrolltöö,2,-,-,4,5,0,1,1,2,1,0,0
kontrolör,1,-,-,6,2,0,0,0,0,0,2,0
konts,1,18,3,6,2,1,1,0,0,0,0,0
kontsentreerima,-,-,-,7,1,0,0,0,0,0,1,0
kontsentreeruma,-,-,-,7,1,0,0,0,0,0,1,0
kontseptsioon,3,22,2,-,0,0,0,0,0,0,0,0
kontserdikülastaja,1,-,-,7,1,0,0,0,0,0,0,1
kontserdipaik,1,-,-,7,1,0,0,0,0,0,0,1
kontserdisaal,1,15,3,-,0,0,0,0,0,0,0,0
kontsert,2,120,1,2,19,8,0,1,2,0,5,3
kontsertturnee,2,-,-,7,1,0,0,0,0,0,1,0
kontuur,2,6,5,7,1,0,0,1,0,0,0,0
konventsioon,3,18,3,-,0,0,0,0,0,0,0,0
konverents,2,57,1,-,0,0,0,0,0,0,0,0
koobas,1,18,3,1,51,0,0,0,46,0,0,5
kood,3,13,3,-,0,0,0,0,0,0,0,0
koogilõhn,2,-,-,7,1,0,0,0,0,1,0,0
kook,1,26,2,1,34,21,1,1,0,7,3,1
kookospähkel,1,-,-,3,6,6,0,0,0,0,0,0
kool,1,464,1,1,384,160,46,67,33,9,19,50
koola,1,-,-,4,4,4,0,0,0,0,0,0
kooliaasta,3,6,5,3,9,1,1,3,2,0,0,2
kooliaed,1,6,5,7,1,0,0,1,0,0,0,0
kooliaeg,3,11,4,4,5,5,0,0,0,0,0,0
kooliarst,1,-,-,7,1,0,0,0,1,0,0,0
kooliasi,3,-,-,2,13,9,0,1,1,0,1,1
koolibri,1,-,-,7,1,0,0,0,1,0,0,0
koolidirektor,1,9,4,6,2,0,0,1,0,0,0,1
koolieelik,1,-,-,7,1,0,0,0,0,0,0,1
koolielu,2,-,-,7,1,0,0,0,1,0,0,0
koolijutt,2,-,-,5,3,0,0,3,0,0,0,0
koolijüts,1,-,-,7,1,1,0,0,0,0,0,0
koolikell,1,-,-,6,2,0,2,0,0,0,0,0
koolikott,1,5,5,1,104,46,53,0,3,1,0,1
koolilaat,1,-,-,6,2,1,0,0,1,0,0,0
koolilaps,1,19,3,2,12,2,1,6,3,0,0,0
koolilaud,1,-,-,4,5,5,0,0,0,0,0,0
koolileht,1,-,-,7,1,0,1,0,0,0,0,0
koolilõpetanu,1,-,-,7,1,0,0,1,0,0,0,0
koolilõpupilt,1,-,-,7,1,0,0,1,0,0,0,0
koolimaja,1,44,2,2,15,12,1,1,1,0,0,0
kooliminek,2,-,-,4,4,0,0,4,0,0,0,0
koolimüts,1,-,-,7,1,0,0,1,0,0,0,0
koolinali,3,-,-,7,1,0,0,0,1,0,0,0
koolinoor,1,-,-,6,2,0,1,0,0,0,0,1
koolinädal,2,-,-,5,3,0,0,3,0,0,0,0
kooliorjus,3,-,-,4,5,0,0,3,0,2,0,0
koolipeo,2,-,-,6,2,0,0,0,2,0,0,0
koolipink,1,6,5,3,7,6,0,1,0,0,0,0
koolipoi,1,-,-,7,1,1,0,0,0,0,0,0
koolipoiss,1,20,3,2,11,10,0,1,0,0,0,0
koolipäev,3,7,5,2,20,2,2,1,12,2,0,1
koolipõlv,-,5,5,-,0,0,0,0,0,0,0,0
kooliraadio,2,-,-,6,2,1,0,0,1,0,0,0
kooliraamatukogu,1,-,-,7,1,0,0,0,0,0,0,1
kooliraha,3,6,5,-,0,0,0,0,0,0,0,0
koolireegel,3,-,-,7,1,0,0,0,0,0,0,1
kooliruum,1,-,-,5,3,0,0,1,1,0,0,1
koolirõivastumine,3,-,-,7,1,0,0,0,0,0,1,0
koolisein,1,-,-,7,1,0,0,0,0,0,0,1
kooliskäimine,-,-,-,7,1,0,0,1,0,0,0,0
koolitama,-,19,3,-,0,0,0,0,0,0,0,0
koolitamine,2,11,4,4,5,0,0,0,0,0,5,0
koolitarve,1,-,-,4,4,2,2,0,0,0,0,0
koolitee,2,7,5,1,34,25,7,1,1,0,0,0
koolitoit,1,-,-,7,1,0,0,0,0,0,1,0
koolituba,1,-,-,7,1,0,0,0,0,0,1,0
koolitund,2,-,-,4,4,0,1,0,1,0,0,2
koolitus,3,26,2,7,1,0,0,0,0,0,1,0
koolitöö,2,-,-,4,4,2,0,0,2,0,0,0
koolitöötaja,1,-,-,7,1,0,0,1,0,0,0,0
koolitüdruk,1,-,-,3,9,5,0,0,2,1,0,1
koolivaheaeg,3,-,-,1,46,37,3,2,0,1,3,0
koolivend,1,7,5,-,0,0,0,0,0,0,0,0
koolivorm,1,-,-,2,16,0,0,14,0,0,2,0
kooliõpetaja,1,11,4,5,3,0,0,3,0,0,0,0
kooliõpilane,1,8,4,4,4,0,0,1,0,0,1,2
kooliõud,3,-,-,7,1,0,0,0,1,0,0,0
koolkond,3,8,4,-,0,0,0,0,0,0,0,0
koolma,-,49,2,1,72,22,8,15,6,0,8,13
koolmeister,1,13,3,-,0,0,0,0,0,0,0,0
koomale,-,8,4,-,0,0,0,0,0,0,0,0
koomik,1,6,5,-,0,0,0,0,0,0,0,0
koomiks,2,-,-,6,2,0,0,2,0,0,0,0
koomiline,-,7,5,-,0,0,0,0,0,0,0,0
koomiliselt,-,-,-,7,1,0,0,0,0,0,1,0
koond,3,-,-,6,2,0,0,0,0,2,0,0
koondama,-,38,2,-,0,0,0,0,0,0,0,0
koondamine,2,12,3,-,0,0,0,0,0,0,0,0
koondav,-,-,-,7,1,0,0,0,0,0,0,1
koondhinne,3,-,-,6,2,0,0,0,0,0,0,2
koondis,1,93,1,6,2,0,0,0,0,2,0,0
koonduma,-,23,2,-,0,0,0,0,0,0,0,0
koonduslaager,1,8,4,-,0,0,0,0,0,0,0,0
kooner,1,-,-,4,4,0,0,0,0,0,0,4
koonerdama,-,-,-,7,1,0,0,0,0,0,0,1
koonerdamine,3,-,-,7,1,0,0,0,0,0,0,1
koonri,1,-,-,7,1,0,0,0,0,0,0,1
koonrist,1,-,-,7,1,0,0,0,0,0,0,1
koonusekujuline,-,-,-,4,4,0,0,0,0,0,4,0
koopa-asukas,1,-,-,5,3,3,0,0,0,0,0,0
koopasein,1,-,-,7,1,0,0,0,1,0,0,0
koopasn,-,-,-,7,1,0,0,0,1,0,0,0
kooperatiiv,2,5,5,-,0,0,0,0,0,0,0,0
koopia,2,25,2,7,1,0,1,0,0,0,0,0
koor,1,38,2,2,14,2,0,2,4,1,0,5
koorem,1,43,2,5,3,0,0,0,3,0,0,0
koorik,-,6,5,-,0,0,0,0,0,0,0,0
koorima,-,21,2,3,7,4,0,3,0,0,0,0
koorimuusika,2,-,-,7,1,0,1,0,0,0,0,0
kooring,2,-,-,7,1,0,0,1,0,0,0,0
koormama,-,20,3,-,0,0,0,0,0,0,0,0
koormus,3,13,3,7,1,0,0,0,0,0,0,1
kooruma,-,14,3,-,0,0,0,0,0,0,0,0
koos,-,674,1,1,157,52,26,13,14,16,20,16
kooselu,3,18,3,7,1,0,0,0,0,0,0,1
kooskõla,3,21,2,-,0,0,0,0,0,0,0,0
kooskõlastama,-,17,3,7,1,0,0,0,0,0,1,0
kooslus,3,7,5,-,0,0,0,0,0,0,0,0
koosnema,-,50,2,3,6,0,1,0,0,2,3,0
koosnev,-,21,2,6,2,0,0,0,0,0,2,0
koosolek,2,58,1,-,0,0,0,0,0,0,0,0
koosolija,2,-,-,7,1,0,0,0,0,0,1,0
koosseis,3,88,1,-,0,0,0,0,0,0,0,0
koost,-,5,5,-,0,0,0,0,0,0,0,0
koostaja,2,-,-,4,4,0,2,1,0,1,0,0
koostama,-,92,1,1,173,41,36,13,23,20,29,11
koostamine,2,31,2,6,2,0,1,0,0,1,0,0
koostegevus,3,-,-,7,1,0,0,0,0,0,1,0
koostis,3,-,-,7,1,0,0,0,1,0,0,0
koostisosa,3,-,-,7,1,0,0,0,0,1,0,0
koostöö,3,186,1,3,7,0,0,0,0,1,4,2
kopeerima,-,8,4,-,0,0,0,0,0,0,0,0
koperdaja,1,-,-,5,3,3,0,0,0,0,0,0
koperdama,-,-,-,6,2,0,0,2,0,0,0,0
kopp-kopp,2,-,-,7,1,1,0,0,0,0,0,0
koppel,1,23,2,7,1,0,0,1,0,0,0,0
kops,1,17,3,4,5,0,0,0,0,3,0,2
kopsakas,-,12,3,-,0,0,0,0,0,0,0,0
kopsima,-,-,-,4,4,4,0,0,0,0,0,0
kopsupõletik,2,-,-,5,3,0,0,0,0,1,0,2
kopter,1,15,3,-,0,0,0,0,0,0,0,0
koputama,-,41,2,3,8,3,1,3,0,0,1,0
koputamine,2,-,-,7,1,0,1,0,0,0,0,0
koputus,2,10,4,6,2,0,0,2,0,0,0,0
koraal,1,-,-,7,1,0,0,0,0,0,1,0
koraan,1,-,-,7,1,0,0,0,0,0,0,1
kord,2,1673,1,1,431,241,36,23,37,10,20,64
kordama,-,146,1,2,13,5,0,1,4,1,0,2
kordamine,3,11,4,7,1,0,0,0,0,0,0,1
kordaminek,3,6,5,-,0,0,0,0,0,0,0,0
kordamistund,2,-,-,2,14,14,0,0,0,0,0,0
kordamööda,-,13,3,3,8,4,1,1,1,0,0,1
korduma,-,36,2,5,3,0,1,0,0,1,1,0
kordumine,3,9,4,6,2,0,0,0,0,0,2,0
kordus,3,10,4,-,0,0,0,0,0,0,0,0
korduv,-,8,4,6,2,0,0,0,1,1,0,0
korduvalt,-,38,2,4,5,0,0,0,1,2,2,0
korduvus,2,-,-,7,1,0,0,0,0,0,1,0
koridor,1,117,1,3,7,1,3,0,2,0,0,1
koridorisein,1,-,-,7,1,0,0,0,0,0,0,1
koristaja,1,11,4,7,1,0,0,0,0,0,0,1
koristama,-,28,2,1,46,24,16,2,0,1,2,1
koristamine,2,6,5,2,10,4,3,1,0,1,0,1
koristustöö,2,-,-,5,3,0,3,0,0,0,0,0
korjama,-,85,1,1,33,23,2,3,1,0,2,2
korjuma,-,11,4,-,0,0,0,0,0,0,0,0
korjus,1,8,4,-,0,0,0,0,0,0,0,0
kork,1,9,4,7,1,0,0,0,0,1,0,0
korp,1,7,5,6,2,0,0,0,0,0,1,1
korpuma,-,-,-,7,1,0,0,0,0,0,0,1
korpus,2,12,3,-,0,0,0,0,0,0,0,0
korradaja,-,-,-,7,1,0,0,0,0,0,0,1
korraga,-,198,1,2,22,6,3,5,1,5,0,2
korraks,-,111,1,6,2,0,1,0,0,0,0,1
korral,-,153,1,1,27,0,1,0,2,5,1,18
korralagedus,-,7,5,-,0,0,0,0,0,0,0,0
korraldaja,2,-,-,4,5,0,0,3,0,0,0,2
korraldama,-,259,1,2,21,0,0,4,1,3,3,10
korraldamine,3,55,1,6,2,0,0,1,0,0,0,1
korraldatav,-,-,-,5,3,0,0,0,0,0,0,3
korraldav,-,5,5,-,0,0,0,0,0,0,0,0
korralduma,-,6,5,7,1,0,0,0,0,0,0,1
korraldus,3,52,2,4,4,0,1,0,0,0,0,3
korralik,-,128,1,2,19,5,4,2,4,0,2,2
korralikkus,3,-,-,7,1,0,0,0,0,0,0,1
korralikult,-,77,1,2,16,9,0,3,2,0,1,1
korralikum,-,-,-,7,1,0,0,0,0,0,0,1
korrapealt,-,7,5,-,0,0,0,0,0,0,0,0
korrapidaja,1,21,2,6,2,2,0,0,0,0,0,0
korrapärane,-,8,4,-,0,0,0,0,0,0,0,0
korrapäraselt,-,-,-,7,1,0,0,0,0,0,0,1
korrashoid,3,6,5,-,0,0,0,0,0,0,0,0
korrastama,-,18,3,-,0,0,0,0,0,0,0,0
korrastamine,2,19,3,-,0,0,0,0,0,0,0,0
korrektne,-,20,3,-,0,0,0,0,0,0,0,0
korrektselt,-,10,4,6,2,0,0,1,1,0,0,0
korrespondent,2,5,5,-,0,0,0,0,0,0,0,0
korrigeerima,-,11,4,-,0,0,0,0,0,0,0,0
korruptsioon,3,33,2,-,0,0,0,0,0,0,0,0
korrus,2,139,1,2,18,3,9,0,0,3,1,2
korrushoid,3,-,-,7,1,0,0,0,0,1,0,0
korrutama,-,12,3,4,5,4,0,0,0,0,0,1
korrutustabel,2,-,-,6,2,0,1,0,0,0,1,0
korsten,1,33,2,4,5,0,0,0,4,0,0,1
korstnapühkija,1,-,-,3,6,0,0,0,6,0,0,0
korter,1,233,1,2,20,2,10,3,0,3,0,2
korterinaaber,1,5,5,-,0,0,0,0,0,0,0,0
korterinumber,2,-,-,7,1,0,0,0,0,1,0,0
korteriperemees,1,5,5,-,0,0,0,0,0,0,0,0
korteriuks,1,7,5,-,0,0,0,0,0,0,0,0
kortsuline,-,-,-,7,1,0,0,1,0,0,0,0
korv,1,43,2,1,24,22,1,1,0,0,0,0
korvama,-,15,3,-,0,0,0,0,0,0,0,0
korvitäis,-,-,-,7,1,0,0,0,0,0,1,0
korvpall,1,-,-,2,21,17,2,0,0,1,0,1
korvpallitreening,2,-,-,7,1,1,0,0,0,0,0,0
kosk,1,24,2,7,1,0,0,1,0,0,0,0
kosmeetik,1,9,4,-,0,0,0,0,0,0,0,0
kosmeetika,2,-,-,4,4,0,2,0,0,0,0,2
kosmonaut,1,-,-,7,1,0,0,0,0,0,0,1
kosmos,3,16,3,5,3,0,0,0,0,0,2,1
kosmosesõda,3,-,-,7,1,0,0,1,0,0,0,0
kost,1,-,-,7,1,0,0,1,0,0,0,0
kostev,-,16,3,-,0,0,0,0,0,0,0,0
kostja,3,-,-,7,1,1,0,0,0,0,0,0
kostma,-,229,1,2,21,6,4,2,3,4,2,0
kostuma,-,8,4,-,0,0,0,0,0,0,0,0
kostümeerija,1,-,-,7,1,0,0,0,0,0,1,0
kostüüm,1,15,3,2,11,8,0,0,0,0,3,0
kostüümiladu,1,-,-,7,1,0,0,0,0,0,0,1
kosuma,-,14,3,-,0,0,0,0,0,0,0,0
kotike,1,-,-,7,1,0,0,0,1,0,0,0
kotitäis,-,-,-,7,1,0,0,0,1,0,0,0
kotkas,1,19,3,6,2,0,0,0,2,0,0,0
kotlet,1,11,4,-,0,0,0,0,0,0,0,0
kott,1,102,1,1,55,22,25,0,4,0,0,4
kotti,-,-,-,4,4,3,1,0,0,0,0,0
kottpime,2,-,-,3,7,0,0,0,5,0,2,0
kraad,3,71,1,2,17,9,0,0,0,0,0,8
kraadiklaas,1,7,5,2,22,19,0,0,2,0,0,1
kraadima,-,-,-,3,7,7,0,0,0,0,0,0
kraaks,2,-,-,2,11,5,6,0,0,0,0,0
kraaksuma,-,6,5,6,2,0,2,0,0,0,0,0
kraam,1,30,2,-,0,0,0,0,0,0,0,0
kraan,1,29,2,-,0,0,0,0,0,0,0,0
kraana,1,7,5,7,1,0,0,0,1,0,0,0
kraanikauss,1,12,3,5,3,0,0,2,0,0,0,1
kraanivesi,1,-,-,6,2,0,0,1,0,0,0,1
kraapima,-,17,3,5,3,0,0,0,3,0,0,0
kraat,3,-,-,2,15,4,5,0,3,0,0,3
kraav,1,20,3,4,4,0,3,0,1,0,0,0
kraaviperv,-,5,5,-,0,0,0,0,0,0,0,0
krabama,-,6,5,-,0,0,0,0,0,0,0,0
krae,1,19,3,5,3,0,0,2,0,0,1,0
krahv,1,8,4,7,1,0,0,0,1,0,0,0
krahvinna,-,27,2,-,0,0,0,0,0,0,0,0
kramp,-,7,5,-,0,0,0,0,0,0,0,0
krampima,-,6,5,-,0,0,0,0,0,0,0,0
kramplikult,-,12,3,-,0,0,0,0,0,0,0,0
krants,-,8,4,-,0,0,0,0,0,0,0,0
kraps,2,-,-,4,4,3,0,1,0,0,0,0
kratsima,-,-,-,7,1,0,0,1,0,0,0,0
kratt,-,9,4,-,0,0,0,0,0,0,0,0
krediitkaart,1,-,-,7,1,0,0,0,0,0,0,1
kreeka,-,-,-,7,1,0,0,0,0,1,0,0
kreeklane,1,10,4,7,1,0,0,0,0,1,0,0
